match_id,odds_key,odds_value,source_file
12a3ad05307d9c73abed,MaxC<2.5,1.96,2022-23.csv
12a3ad05307d9c73abed,AvgC>2.5,1.96,2022-23.csv
12a3ad05307d9c73abed,AvgC<2.5,1.87,2022-23.csv
12a3ad05307d9c73abed,AHCh,-0.25,2022-23.csv
12a3ad05307d9c73abed,B365CAHH,2.08,2022-23.csv
12a3ad05307d9c73abed,B365CAHA,1.85,2022-23.csv
12a3ad05307d9c73abed,PCAHH,2.1,2022-23.csv
12a3ad05307d9c73abed,PCAHA,1.84,2022-23.csv
12a3ad05307d9c73abed,MaxCAHH,2.14,2022-23.csv
12a3ad05307d9c73abed,MaxCAHA,1.87,2022-23.csv
12a3ad05307d9c73abed,AvgCAHH,2.08,2022-23.csv
12a3ad05307d9c73abed,AvgCAHA,1.81,2022-23.csv
c3bac8e5b11ffb16cf95,B365H,1.66,2022-23.csv
c3bac8e5b11ffb16cf95,B365D,3.8,2022-23.csv
c3bac8e5b11ffb16cf95,B365A,5.25,2022-23.csv
c3bac8e5b11ffb16cf95,BWH,1.65,2022-23.csv
c3bac8e5b11ffb16cf95,BWD,3.8,2022-23.csv
c3bac8e5b11ffb16cf95,BWA,5.5,2022-23.csv
c3bac8e5b11ffb16cf95,IWH,1.65,2022-23.csv
c3bac8e5b11ffb16cf95,IWD,3.8,2022-23.csv
c3bac8e5b11ffb16cf95,IWA,5.5,2022-23.csv
c3bac8e5b11ffb16cf95,PSH,1.71,2022-23.csv
c3bac8e5b11ffb16cf95,PSD,3.74,2022-23.csv
c3bac8e5b11ffb16cf95,PSA,5.83,2022-23.csv
c3bac8e5b11ffb16cf95,WHH,1.67,2022-23.csv
c3bac8e5b11ffb16cf95,WHD,3.7,2022-23.csv
c3bac8e5b11ffb16cf95,WHA,5.25,2022-23.csv
c3bac8e5b11ffb16cf95,VCH,1.62,2022-23.csv
c3bac8e5b11ffb16cf95,VCD,3.7,2022-23.csv
c3bac8e5b11ffb16cf95,VCA,5.5,2022-23.csv
c3bac8e5b11ffb16cf95,MaxH,1.72,2022-23.csv
c3bac8e5b11ffb16cf95,MaxD,3.96,2022-23.csv
c3bac8e5b11ffb16cf95,MaxA,6.0,2022-23.csv
c3bac8e5b11ffb16cf95,AvgH,1.67,2022-23.csv
c3bac8e5b11ffb16cf95,AvgD,3.8,2022-23.csv
c3bac8e5b11ffb16cf95,AvgA,5.57,2022-23.csv
c3bac8e5b11ffb16cf95,B365>2.5,2.05,2022-23.csv
c3bac8e5b11ffb16cf95,B365<2.5,1.85,2022-23.csv
c3bac8e5b11ffb16cf95,P>2.5,2.1,2022-23.csv
c3bac8e5b11ffb16cf95,P<2.5,1.81,2022-23.csv
c3bac8e5b11ffb16cf95,Max>2.5,2.1,2022-23.csv
c3bac8e5b11ffb16cf95,Max<2.5,1.86,2022-23.csv
c3bac8e5b11ffb16cf95,Avg>2.5,2.03,2022-23.csv
c3bac8e5b11ffb16cf95,Avg<2.5,1.81,2022-23.csv
c3bac8e5b11ffb16cf95,AHh,-0.75,2022-23.csv
c3bac8e5b11ffb16cf95,B365AHH,1.87,2022-23.csv
c3bac8e5b11ffb16cf95,B365AHA,2.06,2022-23.csv
c3bac8e5b11ffb16cf95,PAHH,1.92,2022-23.csv
c3bac8e5b11ffb16cf95,PAHA,2.01,2022-23.csv
c3bac8e5b11ffb16cf95,MaxAHH,1.92,2022-23.csv
c3bac8e5b11ffb16cf95,MaxAHA,2.08,2022-23.csv
c3bac8e5b11ffb16cf95,AvgAHH,1.86,2022-23.csv
c3bac8e5b11ffb16cf95,AvgAHA,2.02,2022-23.csv
c3bac8e5b11ffb16cf95,B365CH,1.53,2022-23.csv
c3bac8e5b11ffb16cf95,B365CD,4.0,2022-23.csv
c3bac8e5b11ffb16cf95,B365CA,6.0,2022-23.csv
c3bac8e5b11ffb16cf95,BWCH,1.58,2022-23.csv
c3bac8e5b11ffb16cf95,BWCD,3.9,2022-23.csv
c3bac8e5b11ffb16cf95,BWCA,6.0,2022-23.csv
c3bac8e5b11ffb16cf95,IWCH,1.63,2022-23.csv
c3bac8e5b11ffb16cf95,IWCD,3.8,2022-23.csv
c3bac8e5b11ffb16cf95,IWCA,6.0,2022-23.csv
c3bac8e5b11ffb16cf95,PSCH,1.57,2022-23.csv
c3bac8e5b11ffb16cf95,PSCD,4.22,2022-23.csv
c3bac8e5b11ffb16cf95,PSCA,6.6,2022-23.csv
c3bac8e5b11ffb16cf95,WHCH,1.53,2022-23.csv
c3bac8e5b11ffb16cf95,WHCD,3.9,2022-23.csv
c3bac8e5b11ffb16cf95,WHCA,6.5,2022-23.csv
c3bac8e5b11ffb16cf95,VCCH,1.57,2022-23.csv
c3bac8e5b11ffb16cf95,VCCD,3.9,2022-23.csv
c3bac8e5b11ffb16cf95,VCCA,7.0,2022-23.csv
c3bac8e5b11ffb16cf95,MaxCH,1.67,2022-23.csv
c3bac8e5b11ffb16cf95,MaxCD,4.3,2022-23.csv
c3bac8e5b11ffb16cf95,MaxCA,7.0,2022-23.csv
c3bac8e5b11ffb16cf95,AvgCH,1.59,2022-23.csv
c3bac8e5b11ffb16cf95,AvgCD,4.07,2022-23.csv
c3bac8e5b11ffb16cf95,AvgCA,6.15,2022-23.csv
c3bac8e5b11ffb16cf95,B365C>2.5,1.94,2022-23.csv
c3bac8e5b11ffb16cf95,B365C<2.5,1.96,2022-23.csv
c3bac8e5b11ffb16cf95,PC>2.5,1.97,2022-23.csv
c3bac8e5b11ffb16cf95,PC<2.5,1.93,2022-23.csv
c3bac8e5b11ffb16cf95,MaxC>2.5,2.06,2022-23.csv
c3bac8e5b11ffb16cf95,MaxC<2.5,1.97,2022-23.csv
c3bac8e5b11ffb16cf95,AvgC>2.5,1.94,2022-23.csv
c3bac8e5b11ffb16cf95,AvgC<2.5,1.89,2022-23.csv
c3bac8e5b11ffb16cf95,AHCh,-1.0,2022-23.csv
c3bac8e5b11ffb16cf95,B365CAHH,1.97,2022-23.csv
c3bac8e5b11ffb16cf95,B365CAHA,1.96,2022-23.csv
c3bac8e5b11ffb16cf95,PCAHH,1.99,2022-23.csv
c3bac8e5b11ffb16cf95,PCAHA,1.93,2022-23.csv
c3bac8e5b11ffb16cf95,MaxCAHH,2.19,2022-23.csv
c3bac8e5b11ffb16cf95,MaxCAHA,1.97,2022-23.csv
c3bac8e5b11ffb16cf95,AvgCAHH,2.03,2022-23.csv
c3bac8e5b11ffb16cf95,AvgCAHA,1.86,2022-23.csv
74c696f73384943d0d85,B365H,1.33,2022-23.csv
74c696f73384943d0d85,B365D,5.5,2022-23.csv
74c696f73384943d0d85,B365A,8.5,2022-23.csv
74c696f73384943d0d85,BWH,1.35,2022-23.csv
74c696f73384943d0d85,BWD,5.25,2022-23.csv
74c696f73384943d0d85,BWA,8.25,2022-23.csv
